monthdate,facret_E_V4ind,facret_E_green_V4,facret_E_brown_V4,facret_E_V4,facret_E_green_V4ex,facret_E_brown_V4ex,facret_E_V1
2009m1,0.0117041,-0.0840991,-0.0516441,-0.0324551,-0.0159478,0.0179266,-0.0150799
2009m2,0.0222565,-0.0908063,-0.1091421,0.0183358,-0.0045146,-0.0234409,0.0062658
2009m3,0.0008173,0.1003108,0.0643229,0.0359879,0.023375,-0.0143248,0.0088345
2009m4,-0.0162549,0.093893,0.0809509,0.0129422,-0.0004817,-0.0073597,-0.0316139
2009m5,-0.0078799,0.0552404,0.0641482,-0.0089079,0.0054177,0.0157773,0.0037541
2009m6,0.0029051,0.0084976,-0.0163266,0.0248243,0.004805,-0.0223458,0.0089057
2009m7,-0.0144153,0.0752124,0.0735775,0.0016349,-0.0005674,0.0022429,-0.0061538
2009m8,-0.0253677,0.0422782,0.0197733,0.0225049,0.0093478,-0.0103789,0.0093579
2009m9,0.0078081,0.0315671,0.0375796,-0.0060126,-0.0096085,-0.0038487,-0.0033305
2009m10,0.0335285,-0.0130579,-0.010893,-0.0021649,0.0130094,0.0152137,0.0043338
2009m11,0.004351,0.0617616,0.0517148,0.0100468,0.0044355,-0.0023761,0.0053888
2009m12,-0.0141414,0.0206607,0.0159422,0.0047184,-0.0078576,-0.0121069,-0.007646
2010m1,-0.0073913,-0.0358486,-0.0466432,0.0107946,-0.0012481,-0.0123624,0.0029571
2010m2,-0.0065848,0.0280763,0.0319081,-0.0038318,-0.0065972,-0.0040221,-0.0012656
2010m3,-0.0030743,0.0622607,0.0502224,0.0120383,-0.0020051,-0.0140882,0.0077388
2010m4,-0.003082,0.0055479,0.0293469,-0.0237991,-0.0153655,0.0126071,-0.0142812
2010m5,0.0001865,-0.0830298,-0.0823063,-0.0007236,0.0001965,-0.0065253,-0.0039152
2010m6,0.0191688,-0.0560069,-0.0528873,-0.0031196,0.0005107,-0.003498,0.0005915
2010m7,-0.0030808,0.0653828,0.0830956,-0.0177128,-0.0059303,0.0171617,-0.0079916
2010m8,0.0035304,-0.0621282,-0.0245836,-0.0375446,-0.0127606,0.0201007,-0.0097123
2010m9,0.0002589,0.0914955,0.0794152,0.0120803,-0.0061078,-0.0117283,0.0083157
2010m10,0.0089098,0.0445594,0.0520599,-0.0075004,0.0048389,0.0145342,0.0004127
2010m11,-0.0228989,-0.01709,0.0177231,-0.0348131,-0.0231201,0.0120131,-0.0032483
2010m12,-0.0100399,0.0634606,0.0765215,-0.0130609,-0.0053801,0.0092964,-0.0001624
2011m1,-0.0026231,0.0184677,0.0392656,-0.0207979,-0.001973,0.0186864,-0.004004
2011m2,-0.009615,0.0202142,0.0427841,-0.0225699,-0.0173117,0.007943,0.0011302
2011m3,0.0046077,-0.0031601,0.0046688,-0.0078289,-0.0078089,-0.0000115,-0.001714
2011m4,0.01093,0.0346535,0.0303573,0.0042962,0.0055988,0.0014345,0.0017023
2011m5,0.0001142,-0.0036708,-0.0259445,0.0222738,0.0086409,-0.0143866,0.0016379
2011m6,0.0081455,-0.0142192,-0.0177096,0.0034903,0.0026545,-0.0013381,0.0025649
2011m7,0.0088077,-0.0239191,-0.0210685,-0.0028505,-0.0003416,-0.0002221,-0.0032399
2011m8,-0.0004971,-0.0504621,-0.0474102,-0.0030519,0.0081502,0.0058769,-0.0062795
2011m9,0.0226958,-0.0520238,-0.0708589,0.0188352,0.0210982,-0.0038937,0.0028357
2011m10,-0.0277702,0.0838548,0.1144759,-0.0306211,-0.0234368,0.0201038,-0.0112651
2011m11,-0.0058881,-0.0118754,0.0116468,-0.0235222,-0.0080957,0.01398,-0.0060662
2011m12,-0.0035803,0.0161973,0.0039478,0.0122495,0.0096218,-0.002348,0.0037228
2012m1,0.0060273,0.0498664,0.0172655,0.0326009,0.0013375,-0.0253911,0.0064102
2012m2,-0.0201515,0.0333474,0.035767,-0.0024196,-0.0108132,-0.0024781,0.0004947
2012m3,0.0051867,0.0493565,0.0032437,0.0461128,0.0187759,-0.0241238,0.0087297
2012m4,0.0043922,-0.0034048,-0.0040766,0.0006718,0.0059182,0.0032059,-0.0050254
2012m5,0.0130773,-0.0526454,-0.0578973,0.0052519,0.0095741,-0.0070598,0.0011682
2012m6,-0.0001611,0.0528819,0.03922,0.0136619,0.0174216,0.0074763,0.0029547
